step,lambda,threshold,fairness_violation,metric
0,-0.0005477477477477488,0.5,-0.02738738738738744,dp
1,-0.0010954954954954976,0.49986306306648676,-0.02738738738738744,dp
2,-0.0016432432432432465,0.49972612615351597,-0.02738738738738744,dp
3,-0.0021909909909909953,0.4995891892816301,-0.02738738738738744,dp
4,-0.002738738738738744,0.4994522524713713,-0.02738738738738744,dp
5,-0.0032864864864864925,0.4993153157432822,-0.02738738738738744,dp
6,-0.003834234234234241,0.4991783791179051,-0.02738738738738744,dp
7,-0.00438198198198199,0.499041442615782,-0.02738738738738744,dp
8,-0.004929729729729738,0.4989045062574552,-0.02738738738738744,dp
9,-0.005477477477477487,0.4987675700634668,-0.02738738738738744,dp
10,-0.0060252252252252355,0.49863063405435876,-0.02738738738738744,dp
11,-0.006572972972972984,0.4984936982506728,-0.02738738738738744,dp
12,-0.007120720720720733,0.498356762672951,-0.02738738738738744,dp
13,-0.007668468468468481,0.49821982734173476,-0.02738738738738744,dp
14,-0.00821621621621623,0.49808289227756564,-0.02738738738738744,dp
15,-0.00876396396396398,0.4979459575009848,-0.02738738738738744,dp
16,-0.009311711711711728,0.4978090230325335,-0.02738738738738744,dp
17,-0.009859459459459477,0.4976720888927526,-0.02738738738738744,dp
18,-0.010407207207207225,0.497535155102183,-0.02738738738738744,dp
19,-0.010954954954954974,0.497398221681365,-0.02738738738738744,dp
20,-0.011502702702702722,0.4972612886508392,-0.02738738738738744,dp
21,-0.012050450450450471,0.4971243560311454,-0.02738738738738744,dp
22,-0.01259819819819822,0.4969874238428237,-0.02738738738738744,dp
23,-0.013145945945945968,0.4968504921064135,-0.02738738738738744,dp
24,-0.013693693693693717,0.49671356084245416,-0.02738738738738744,dp
25,-0.014241441441441465,0.49657663007148467,-0.02738738738738744,dp
26,-0.014789189189189214,0.49643969981404396,-0.02738738738738744,dp
27,-0.015336936936936963,0.49630277009067025,-0.02738738738738744,dp
28,-0.01588468468468471,0.4961658409219016,-0.02738738738738744,dp
29,-0.01643243243243246,0.49602891232827584,-0.02738738738738744,dp
