step,lambda,threshold,fairness_violation,metric
0,0.002040830782441521,0.5,0.10204153912207603,eod
1,0.004081661564883042,0.5005102075185263,0.10204153912207603,eod
2,0.0061224923473245626,0.5010204139745497,0.10204153912207603,eod
3,0.008163323129766083,0.5015306183055763,0.10204153912207603,eod
4,0.010481931689985381,0.5020408194491298,0.11593042801096487,eod
5,0.012800540250204679,0.5026204589298603,0.11593042801096487,eod
6,0.015119148810423977,0.5032000913670681,0.11593042801096487,eod
7,0.017437757370643275,0.5037797152028772,0.11593042801096487,eod
8,0.019756365930862572,0.5043593288795044,0.11593042801096487,eod
9,0.0221420885850416,0.5049389308392752,0.11928613270895139,eod
10,0.024527811239220626,0.5055352959980149,0.11928613270895139,eod
11,0.026913533893399653,0.506131645406154,0.11928613270895139,eod
12,0.02929925654757868,0.5067279773672748,0.11928613270895139,eod
13,0.03168497920175771,0.5073242901851583,0.11928613270895139,eod
14,0.03407070185593674,0.5079205821638034,0.11928613270895139,eod
15,0.0365235386040755,0.5085168516074462,0.12264183740693801,eod
16,0.03897637535221426,0.509129869760077,0.12264183740693801,eod
17,0.04142921210035302,0.5097428604573812,0.12264183740693801,eod
18,0.04388204884849178,0.5103558218573306,0.12264183740693801,eod
19,0.046334885596630536,0.5109687521182494,0.12264183740693801,eod
20,0.048787722344769295,0.5115816493988362,0.12264183740693801,eod
21,0.051240559092908054,0.5121945118581863,0.12264183740693801,eod
22,0.05369339584104681,0.5128073376558133,0.12264183740693801,eod
23,0.05614623258918557,0.5134201249516719,0.12264183740693801,eod
24,0.05859906933732433,0.5140328719061793,0.12264183740693801,eod
25,0.06105190608546309,0.514645576680238,0.12264183740693801,eod
26,0.06350474283360186,0.5152582374352572,0.12264183740693801,eod
27,0.0662353573595184,0.5158708523331751,0.13653072629582697,eod
28,0.06896597188543493,0.5165527881897702,0.13653072629582697,eod
29,0.07176370050531121,0.5172346624031653,0.1398864309938136,eod
