epoch,lambda,dp,accuracy,roc_auc
0,0.005963420371053962,0.011926840742107925,0.793209284481105,0.6391468514865951
1,0.0059652602741661065,3.679806224288207e-06,0.7976213312871667,0.6117964241361677
2,0.005967100177278251,3.679806224288207e-06,0.7976213312871667,0.6118281558185404
3,0.005968940080390395,3.679806224288207e-06,0.7976213312871667,0.6120728778581342
4,0.005970779983502539,3.679806224288207e-06,0.7976213312871667,0.6125867484841844
5,0.00597151594474743,1.471922489781896e-06,0.7983886437751775,0.5954393125867484
6,0.011931256509577104,0.011919481129659348,0.7947439094571264,0.6374851614434949
7,0.012124740720853344,0.00038696842255248054,0.7978131594091694,0.5959659671999415
8,0.01481622458946602,0.005382967737225353,0.7980049875311721,0.632242585287457
9,0.018467401921388682,0.007302354663845323,0.7989641281411854,0.6335807947987435
10,0.02442971835057539,0.011924632858373418,0.7939765969691157,0.6385864106216671
11,0.024431558253687535,3.679806224288207e-06,0.7976213312871667,0.6034907133464825
12,0.02443339815679968,3.679806224288207e-06,0.7976213312871667,0.6035080630433195
13,0.024435238059911824,3.679806224288207e-06,0.7976213312871667,0.603543675578932
14,0.024437077963023968,3.679806224288207e-06,0.7976213312871667,0.6036244886405142
