dataset,model,accuracy,roc_auc,dp
German,LogisticRegression,0.68,0.7063492063492063,0.0
German,RandomForest,0.76,0.8134920634920635,0.0
German,FairLogisticRegression,0.68,0.7063492063492063,0.0
German,Fairlearn_ExponentiatedGradient,0.68,0.6031746031746033,0.2391304347826086
German,Fairlearn_GridSearch,0.68,0.6507936507936508,0.2391304347826086
German,AdaptiveController_LightGBM,0.76,0.746031746031746,0.0
German,LightGBM_ThresholdOptimized,0.76,0.7460317460317462,0.0
LendingClub,LogisticRegression,0.7986577181208053,0.6815798319327732,0.0058240110713874
LendingClub,RandomForest,0.7959731543624161,0.6978935574229692,0.02756314150617
LendingClub,FairLogisticRegression,0.7932885906040269,0.6586890756302521,-0.0103505939338023
LendingClub,AdaptiveController_LightGBM,0.789261744966443,0.6887170868347339,0.0306048898627609
LendingClub,Fairlearn_ExponentiatedGradient,0.8013422818791947,0.5066666666666666,-0.0053050397877983
LendingClub,Fairlearn_GridSearch,0.8013422818791947,0.6320224089635854,-0.0053050397877983
LendingClub,LightGBM_ThresholdOptimized,0.8,0.6927282913165266,0.0027173913043477
Adult,LogisticRegression,0.8539877300613496,0.9059007286274768,0.0
Adult,RandomForest,0.8466257668711656,0.8849526886683592,0.0
Adult,FairLogisticRegression,0.8539877300613496,0.9059007286274768,0.0
Adult,AdaptiveController_LightGBM,0.8503067484662576,0.8985361511325046,0.0
Adult,Fairlearn_ExponentiatedGradient,0.8552147239263803,0.7634804325607464,0.0
Adult,LightGBM_ThresholdOptimized,0.8429447852760736,0.8963972503379382,0.0
