feature,priv_mean_abs_shap,unpriv_mean_abs_shap,difference
age_18_,,0.03109577929583657,
age_19_,,0.06742055126983364,
age_20_,,0.056319352334867186,
age_21_,,0.09263702664601578,
age_22_,,0.0508415122548578,
age_23_,,0.06777863368319122,
age_24_,,0.06484296413335804,
age_25_,,0.04361072487820375,
age_26_,,0.035654982004435114,
age_27_,,0.029304698131411806,
age_28_,,0.024615258168630576,
age_29_,,0.013810025637172573,
age_30_,,0.0053688791942016435,
age_31_,,0.0038812869977202426,
age_32_,,0.006230566331862184,
age_33_,,0.018695003507117437,
age_34_,,0.006943554711318629,
age_35_,,0.0014851862964364877,
age_36_,,0.004534174628551877,
age_37_,,0.03628757889223967,
age_38_,,0.012246438411830476,
age_39_,,0.019199679148988076,
age_40_,,0.01710377334957357,
age_41_,,0.012021232404592278,
age_42_,,0.023578768835948907,
age_43_,,0.01305075902736593,
age_44_,,0.01377258883296649,
age_45_,,0.03219418784849802,
age_46_,,0.02359333894385292,
age_47_,,0.01838987403219699,
age_48_,,0.027853177437649784,
age_49_,,0.01409407795929628,
age_50_,,0.02788649877431664,
age_51_,,0.01498980040544676,
age_52_,,0.026335774938517482,
age_53_,,0.041570322083843335,
age_54_,,0.028898629457358212,
age_55_,,0.01896160237761091,
age_56_,,0.016669578689294823,
age_57_,,0.01119528487404935,
age_58_,,0.004602614950913459,
age_59_,,0.007158368000305164,
age_60_,,0.006081822288572287,
age_61_,,0.005469518533190238,
age_62_,,9.404726884544919e-05,
age_63_,,0.01185551306012039,
age_64_,,0.005054166477707566,
age_65_,,0.00036095254565023663,
age_66_,,0.0018747095008861277,
age_67_,,0.00033434023641511153,
age_68_,,0.00031931599149190884,
age_69_,,0.00028540996051420363,
age_70_,,0.00011389533830190188,
age_71_,,0.0007113872540765186,
age_72_,,0.000989106731332398,
age_73_,,0.0,
age_74_,,0.0,
age_75_,,0.0001262385914591721,
age_76_,,0.0007091739366194928,
age_77_,,0.0014639460783443495,
age_78_,,0.0,
age_79_,,0.00649587851887305,
age_80_,,0.0,
age_81_,,0.0,
age_82_,,0.0039037587085667277,
age_83_,,0.0,
age_84_,,0.0,
age_85_,,0.0,
age_86_,,0.0,
age_87_,,0.0,
age_88_,,0.0,
age_90_,,0.00020991952366371822,
workclass_Federal_gov_,,0.05666274070690343,
workclass_Local_gov_,,0.008135090006128843,
workclass_Never_worked_,,0.0,
workclass_Private_,,0.07381570471849293,
workclass_Self_emp_inc_,,0.020640461036526083,
workclass_Self_emp_not_inc_,,0.03147260258917905,
workclass_State_gov_,,0.009431632456933453,
workclass_Without_pay_,,0.0,
fnlwgt_100029_,,0.0,
fnlwgt_100054_,,0.0,
fnlwgt_100063_,,0.0,
fnlwgt_100067_,,0.0,
fnlwgt_100079_,,0.0,
fnlwgt_100099_,,0.0,
fnlwgt_100109_,,0.0005792793736143688,
fnlwgt_100135_,,0.0,
fnlwgt_100147_,,0.0,
fnlwgt_100154_,,0.0,
fnlwgt_100168_,,0.0,
fnlwgt_100188_,,0.0,
fnlwgt_100219_,,0.0,
fnlwgt_100226_,,0.0,
fnlwgt_100228_,,0.0,
fnlwgt_100252_,,0.0,
fnlwgt_100270_,,0.0,
fnlwgt_100292_,,0.0,
fnlwgt_100295_,,0.0,
fnlwgt_100313_,,0.0,
fnlwgt_100316_,,0.0,
fnlwgt_100321_,,0.0,
fnlwgt_100345_,,0.0,
fnlwgt_100375_,,0.0,
fnlwgt_100405_,,0.0,
fnlwgt_100451_,,0.0,
fnlwgt_100453_,,0.0,
fnlwgt_100462_,,0.0,
fnlwgt_100479_,,0.0,
fnlwgt_100480_,,0.0,
fnlwgt_100506_,,0.0,
fnlwgt_100508_,,0.0,
fnlwgt_100563_,,0.0,
fnlwgt_100569_,,0.0,
fnlwgt_100579_,,0.0,
fnlwgt_100584_,,0.0,
fnlwgt_100587_,,0.0,
fnlwgt_100593_,,0.0,
fnlwgt_100605_,,0.0,
fnlwgt_100651_,,0.0,
fnlwgt_100653_,,0.0,
fnlwgt_100662_,,0.0,
fnlwgt_100669_,,0.0,
fnlwgt_100675_,,0.0,
fnlwgt_100681_,,0.0,
fnlwgt_100722_,,0.0,
fnlwgt_100734_,,0.0,
fnlwgt_100764_,,0.0,
fnlwgt_100776_,,0.0,
fnlwgt_100790_,,0.0,
fnlwgt_100793_,,0.0,
fnlwgt_100800_,,0.0,
fnlwgt_100818_,,0.0,
fnlwgt_100820_,,0.0,
fnlwgt_100828_,,0.0,
fnlwgt_100829_,,0.0,
fnlwgt_100863_,,0.0,
fnlwgt_100875_,,0.0,
fnlwgt_100881_,,0.0,
fnlwgt_100882_,,0.0,
fnlwgt_100903_,,0.0,
fnlwgt_100931_,,0.0,
fnlwgt_100933_,,0.0,
fnlwgt_100950_,,0.0,
fnlwgt_100960_,,0.0,
fnlwgt_100997_,,0.0,
fnlwgt_100999_,,0.0,
fnlwgt_101017_,,0.0,
fnlwgt_101020_,,0.0,
fnlwgt_101027_,,0.0,
fnlwgt_101061_,,0.0,
fnlwgt_101073_,,0.0,
fnlwgt_101077_,,0.0,
fnlwgt_101094_,,0.0,
fnlwgt_101096_,,0.0,
fnlwgt_101104_,,0.0,
fnlwgt_101110_,,0.0,
fnlwgt_101119_,,0.0,
fnlwgt_101128_,,0.0,
fnlwgt_101132_,,0.0,
fnlwgt_101146_,,0.0,
fnlwgt_101150_,,0.0,
fnlwgt_101192_,,0.0,
fnlwgt_101198_,,0.0,
fnlwgt_101214_,,0.0,
fnlwgt_101233_,,0.0,
fnlwgt_101260_,,0.0,
fnlwgt_101265_,,4.4535653599921316e-05,
fnlwgt_101266_,,0.0,
fnlwgt_101272_,,0.0,
fnlwgt_101283_,,0.0,
fnlwgt_101290_,,0.0,
fnlwgt_101299_,,0.0,
fnlwgt_101320_,,0.00031243227296008847,
fnlwgt_101338_,,0.0,
fnlwgt_101345_,,0.0,
fnlwgt_101352_,,0.0,
fnlwgt_101364_,,0.0,
fnlwgt_101383_,,0.0,
fnlwgt_101387_,,0.0,
fnlwgt_101430_,,0.0,
fnlwgt_101432_,,0.0,
fnlwgt_101436_,,0.0,
fnlwgt_101452_,,0.0,
fnlwgt_101455_,,0.0,
fnlwgt_101460_,,0.0,
fnlwgt_101468_,,0.0,
fnlwgt_101475_,,0.0,
fnlwgt_101481_,,0.0,
fnlwgt_101500_,,0.0,
fnlwgt_101509_,,0.0,
fnlwgt_101510_,,0.0,
fnlwgt_101517_,,0.0,
fnlwgt_101524_,,0.0,
fnlwgt_101534_,,0.0,
fnlwgt_101549_,,0.0,
fnlwgt_101562_,,0.0,
fnlwgt_101590_,,0.0,
fnlwgt_101593_,,0.0,
fnlwgt_101597_,,0.0,
fnlwgt_101602_,,0.0,
fnlwgt_101603_,,0.0,
fnlwgt_101607_,,0.0,
fnlwgt_101618_,,0.0,
fnlwgt_101626_,,0.0,
fnlwgt_101656_,,0.0,
fnlwgt_101684_,,0.0,
fnlwgt_101689_,,0.0,
fnlwgt_101697_,,0.0,
fnlwgt_101709_,,0.0,
fnlwgt_101722_,,0.0,
fnlwgt_101739_,,0.0,
fnlwgt_101752_,,0.0,
fnlwgt_101761_,,0.0,
fnlwgt_101771_,,0.0,
fnlwgt_101795_,,0.0,
fnlwgt_101812_,,0.0,
fnlwgt_101825_,,0.0,
fnlwgt_101833_,,0.0,
fnlwgt_101859_,,0.0,
fnlwgt_101885_,,0.0,
fnlwgt_101887_,,0.0,
fnlwgt_101890_,,0.0,
fnlwgt_101926_,,0.0,
fnlwgt_101950_,,0.0,
fnlwgt_101967_,,0.0,
fnlwgt_101977_,,0.0,
fnlwgt_101978_,,0.0,
fnlwgt_101996_,,0.0,
fnlwgt_102025_,,0.0,
fnlwgt_102041_,,0.0,
fnlwgt_102058_,,0.0,
fnlwgt_102069_,,0.0,
fnlwgt_102076_,,0.0,
fnlwgt_102085_,,0.0,
fnlwgt_102092_,,0.0,
fnlwgt_102096_,,0.0,
fnlwgt_102102_,,0.0,
fnlwgt_102103_,,0.0,
fnlwgt_102106_,,0.0,
fnlwgt_102110_,,0.0,
fnlwgt_102112_,,0.0,
fnlwgt_102114_,,0.0,
fnlwgt_102130_,,0.0,
fnlwgt_102147_,,0.0,
fnlwgt_102178_,,0.0,
fnlwgt_102180_,,0.0,
fnlwgt_102182_,,0.0,
fnlwgt_102191_,,0.0,
fnlwgt_102193_,,0.0,
fnlwgt_102202_,,0.0,
fnlwgt_102226_,,0.0,
fnlwgt_102238_,,0.0,
fnlwgt_102264_,,0.0,
fnlwgt_102268_,,0.0,
